doi,primary_key,Seasonal_annual,Measurement_period,start_year,end_year,chamber_yes_no,Sampling frequency,Country,Location,latitude,longitude,crop,emission_range,unit,emission_range,min,max,mean,fertilizer_induced,,EFS,rainfall_mm,Temperature,Altitude,soil_type,soil depth ,texture,sand,silt,clay,total_N ,ton_unit,SOC,SOM,TOC,toc_unit,Ammonium,nitrates,pH,C:N,Bulk_density,sampling_frequency,top soil
https://doi.org/10.1002/jpln.201200012,Lompo_2012,Annual flux (kg N2O-N ha−1 yr−1),Mar 2008–Mar 2009 ,2008,2009,,Twice a day ,Burkina Faso,Kodéni,10.31667,-5.41667,Vegetables,80.5–113.4 ,kg ha−1 yr−1,80.5–113.4 ,80.5,113.4,96.95,maybe,,0.38-0.75,780,30,160,Plinthic Kandiudalf,15cm,,81.4,8,1.06,1.21,,1.13,,,,,,5.4,,,,
https://doi.org/10.1002/jpln.201200012,Lompo_2012,Annual flux (kg N2O-N ha−1 yr−1),Mar 2008–Mar 2009 ,2008,2009,,Twice a day ,Burkina Faso,Kuinima,11.1469,4.2833,Vegetables,80.5–113.4 ,kg ha−1 yr−1,80.5–113.4 ,80.5,113.4,96.95,maybe,,0.1-0.55,925,26,,Ferric Luvisol,90 cm,Voltain clay,64.89,34.34,0.77,0.05,%,0.57,,0.58,%,,,5.23,,1.31,,Strong brown
doi:10.1007/s10021-008-9144-1,Brümmer_2008,Annual flux (kg N2O-N ha−1 yr−1),Jun–Sep 2006 ,2006,2006,,1–3 per week,Burkina Faso,Dano ,11.14356,3.06379," sorghum, cotton or groundnut", 0.19–0.67 ,kg ha−1 yr−1, 0.19–0.67 ,0.19,0.67,0.43,yes,,,1800,24,1330,"Kaolinitic, isohyperthermic kandiudalfic Eutrodox",,"Silty, clay, loam",25,55,20,0.12,,,,1.3,,,,5.9,,1.13,,
doi:10.1007/s10021-008-9144-1,Brümmer_2008,Annual flux (kg N2O-N ha−1 yr−1),Jun–Sep 2006 ,2006,2006,,1–3 per week,Burkina Faso,Dano ,11.14356,3.06379," sorghum, cotton or groundnut", 0.19–0.67 ,kg ha−1 yr−1, 0.19–0.67 ,0.19,0.67,0.43,yes,,,1100,24,,,,Clay sandy,46,,38,0.14,,,,1.36,,,,7.8,,,,
doi:10.1007/s10021-008-9144-1,Brümmer_2008,Annual flux (kg N2O-N ha−1 yr−1),Jun–Sep 2006 ,2006,2006,,1–3 per week,Burkina Faso,Dano ,11.14356,3.06379," sorghum, cotton or groundnut", 0.19–0.67 ,kg ha−1 yr−1, 0.19–0.67 ,0.19,0.67,0.43,yes,,,926,29.5,,Oxisol,0-20 cm,"loamy, sand",80.6,13.4,6,0.06,,,,0.66,%,,,6,11.08,1.44,1–3 week)1 ,
doi:10.1007/s10021-008-9144-1,Brümmer_2008,Annual flux (kg N2O-N ha−1 yr−1),Jun–Sep 2006 ,2006,2006,,1–3 per week,Burkina Faso,Dano ,11.14356,3.06379," sorghum, cotton or groundnut", 0.19–0.67 ,kg ha−1 yr−1, 0.19–0.67 ,0.19,0.67,0.43,yes,,,926,29.5,,Oxisol,0-20 cm,Loam,42.3,35.4,22.3,0.07,,,,0.86,%,,,5.9,11.8,1.58,1–3 week)1/10 day)1 ,
https://doi.org/10.1016/j.heliyon.2024.e34855,Kum_2024,Seasonal flux (kg N2O-N ha−1 season−1),April-Aug 2020,2020,2020,Static chamber,2 times per month,Cameroon,Bamenda,5.933,10.167,Maize,0.41-1.52,kg ha−1 yr−1,0.41-1.52,0.41,1.52,0.97,no,,,926,29.5,,Oxisol,0-20 cm,Loam,47,30.5,22.5,0.07,,,,0.85,%,,,5.9,11.09,1.47,1–3 week)1 ,
https://doi.org/10.5194/bg-17-345-2020,Raji_2019,Annual flux (kg N2O-N ha−1 yr−1),107–123 days(2015-2016,2015,2016,,Weekly,Ethiopia,Hawassa University,7.0511,38.497,Maize with legume intercropping,0.17–0.33 ,μg m−2 h−1 ,0.17–0.33 ,0.01,0.03,0.02,yes,,,926,29.5,,Oxisol,0-20 cm,Loam,32.6,46.3,21.1,0.07,,,,0.89,%,,,5.9,11.78,1.59,1–3 week)1 ,
https://doi.org/10.1016/j.sciaf.2019.e00141 ,Atakora_2019,Annual flux (kg N2O-N ha−1 yr−1),Aug 2013–Aug 2014 ,2013,2014,,"Daily during fertilization, then weekly ",Ghana,Akukayilli,8.1,-1.2,Maize,1.22–4.29 ,kg ha−1 yr−1,1.22–4.29 ,1.22,4.29,2.76,yes,,1.46-1.61,925,26.5,,,,,,,,,,,,,,,,,,,,
doi:10.1016/j.still.2005.08.006 ,Baggs_2006,Seasonal flux (kg N2O-N ha−1 season−1),Feb–June 2002 ,2002,2002,,Weekly,Kenya,Siaya,0.06263,34.28781,Agroforestry(maize),0.2–0.6 ,kg ha−1 yr−1,0.2–0.6 ,0.2,0.6,0.4,no,,0.46-0.47,1300,16,1600,Ferasol,0-30,,,,,0.265,,,,3.75,,,,4.9,,0.885,,
